area_type,availability,location,size,society,total_sqft,bath,balcony,price
Carpet  Area,18 Months,Usmanpura Enclave 18,2 Bedroom,Sunshine Towers,1279,5,3,58.06
Built-up  Area,Ready To Move,Vedant Nagar Sector 48,1 BHK,Sai Residency,571,3,2,29.13
Plot  Area,18 Months,Jalna Road East 23,2 BHK,Nilgiri Heights,1292,1,1,59.94
Super built-up  Area,Dec 2024,Hudco Enclave 32,4 BHK,Golden Nest,2032,4,0,107.36
Plot  Area,Under Construction,Usmanpura Enclave 54,3 Bedroom,Rose Garden,1311,2,1,70.7
Carpet  Area,Immediate Possession,Shivaji Nagar South 40,5 BHK,Sunshine Towers,3503,5,2,157.46
Plot  Area,Dec 2024,Beed Bypass West 54,2 BHK,Green Park,1019,2,3,52.91
Carpet  Area,Under Construction,Vedant Nagar Sector 45,5 BHK,Sai Residency,4634,4,1,240.19
Carpet  Area,Ready To Move,Shahgunj Block 3,2 BHK,Green Park,1246,4,0,73.88
Super built-up  Area,Immediate Possession,Aurangpura Sector 35,2 Bedroom,Nilgiri Heights,1129,3,1,46.88
Super built-up  Area,Under Construction,Beed Bypass Central 26,1 BHK,Lake View,787,1,2,39.71
Carpet  Area,18 Months,Shivaji Nagar Phase 29,2 BHK,Green Park,1259,4,1,76.67
Carpet  Area,18 Months,Shendra MIDC Sector 52,1 BHK,Sunshine Towers,573,2,0,25.37
Super built-up  Area,Ready To Move,Harsul South 16,2 BHK,Green Park,1190,5,0,66.66
Plot  Area,Dec 2024,Aurangpura Enclave 24,1 BHK,Golden Nest,740,5,0,40.77
Carpet  Area,Dec 2024,Aurangpura Extension 47,3 BHK,,1421,3,1,78.12
Plot  Area,Ready To Move,Shahgunj Central 46,3 Bedroom,Sunshine Towers,1554,2,0,80.73
Built-up  Area,Dec 2024,Usmanpura North 55,1 BHK,Rose Garden,464,4,3,18.8
Plot  Area,Dec 2024,Cantonment South 3,3 Bedroom,Sai Residency,1346,4,2,78.62
Carpet  Area,Under Construction,Shahgunj North 16,3 BHK,,1382,5,0,56.44
Carpet  Area,Immediate Possession,Shendra MIDC East 9,5 BHK,Lake View,4370,4,3,212.26
Super built-up  Area,Ready To Move,Shahgunj Sector 29,5 BHK,Sunshine Towers,3067,3,3,124.54
Built-up  Area,Under Construction,Kranti Chowk Central 34,3 Bedroom,,1014,3,1,36.98
Built-up  Area,Dec 2024,Nirala Bazaar Central 22,2 BHK,Green Park,839,5,0,30.18
Carpet  Area,Immediate Possession,Shendra MIDC Sector 29,5 BHK,Sunshine Towers,4330,2,1,168.31
Super built-up  Area,Immediate Possession,Hudco Sector 52,1 BHK,Green Park,544,5,3,34.84
Plot  Area,Ready To Move,MGM Campus Enclave 55,3 Bedroom,Green Park,1641,4,0,83.13
Carpet  Area,18 Months,Nakshtrawadi South 6,3 Bedroom,Golden Nest,1507,1,0,53.69
Built-up  Area,18 Months,Nakshtrawadi Block 55,2 BHK,Rose Garden,1263,5,2,51.43
Plot  Area,Under Construction,Baijipura North 2,3 BHK,Green Park,1551,3,2,72.03
Plot  Area,Ready To Move,Vedant Nagar Sector 49,4 BHK,,2094,3,3,121.88
Carpet  Area,18 Months,Nakshtrawadi Sector 24,1 BHK,Rose Garden,641,1,0,24.99
Built-up  Area,18 Months,Usmanpura Extension 3,3 Bedroom,Sai Residency,1178,1,2,60.81
Super built-up  Area,Ready To Move,Shendra MIDC South 43,2 BHK,Green Park,1222,3,0,77.86
Built-up  Area,Ready To Move,Nakshtrawadi North 12,5 BHK,Sunshine Towers,3320,2,0,210.65
Built-up  Area,Ready To Move,Cantonment Block 59,5 BHK,,2874,3,0,184.12
Built-up  Area,Dec 2024,Nakshtrawadi South 14,3 BHK,Green Park,1281,4,3,47.31
Built-up  Area,Immediate Possession,Kranti Chowk Block 16,5 BHK,Lake View,2529,3,3,137.56
Carpet  Area,Dec 2024,Paithan Road West 47,5 BHK,Nilgiri Heights,4353,5,0,247.82
Plot  Area,18 Months,Paithan Road East 30,3 BHK,Sai Residency,1133,1,2,71.88
Plot  Area,Ready To Move,Mukundwadi Block 28,3 BHK,Lake View,1623,4,0,96.58
Plot  Area,18 Months,Waluj MIDC South 26,3 Bedroom,Sunshine Towers,1237,5,1,57.72
Plot  Area,Ready To Move,Seven Hills Sector 53,1 BHK,Lake View,668,2,2,41.13
Plot  Area,18 Months,CIDCO North 37,1 BHK,Golden Nest,523,1,2,23.19
Super built-up  Area,Under Construction,Satara Area Enclave 28,4 BHK,Lake View,2307,3,2,91.57
Carpet  Area,Dec 2024,Shendra MIDC West 47,3 Bedroom,Rose Garden,1448,5,1,86.56
Carpet  Area,Ready To Move,Shivaji Nagar East 1,4 BHK,Golden Nest,2562,4,0,144.19
Built-up  Area,Ready To Move,Beed Bypass West 54,2 Bedroom,,773,4,3,46.76
Carpet  Area,Dec 2024,Padegaon Block 1,3 Bedroom,Golden Nest,1498,4,3,62.87
Super built-up  Area,Ready To Move,Seven Hills Sector 53,5 BHK,Golden Nest,3924,3,2,144.04
Super built-up  Area,Ready To Move,MGM Campus East 54,3 Bedroom,Golden Nest,1541,4,3,57.06
Super built-up  Area,Dec 2024,CIDCO Extension 45,5 BHK,Lake View,4140,1,3,158.88
Super built-up  Area,Under Construction,Seven Hills West 46,2 BHK,Golden Nest,1007,2,3,62.93
Super built-up  Area,18 Months,Shahgunj South 49,2 BHK,Nilgiri Heights,1160,5,2,44.55
Super built-up  Area,Under Construction,Harsul Sector 49,3 Bedroom,Sunshine Towers,1626,5,3,57.69
Carpet  Area,18 Months,CIDCO South 35,3 BHK,Sunshine Towers,1578,4,2,76.09
Carpet  Area,Immediate Possession,Nirala Bazaar Sector 57,1 BHK,Rose Garden,795,4,0,43.33
Carpet  Area,18 Months,Garkheda Enclave 37,2 Bedroom,Sai Residency,1246,1,0,56.17
Carpet  Area,Immediate Possession,Baijipura Sector 9,5 BHK,Lake View,3809,1,0,205.37
Super built-up  Area,18 Months,Jalna Road West 50,3 Bedroom,Rose Garden,1479,1,0,81.03
Carpet  Area,Dec 2024,Vedant Nagar Central 56,1 BHK,Golden Nest,607,4,1,29.99
Plot  Area,Under Construction,Usmanpura Sector 41,1 BHK,Sai Residency,566,4,3,31.79
Built-up  Area,Dec 2024,Shahgunj Extension 34,2 BHK,Lake View,888,3,0,32.56
Super built-up  Area,Immediate Possession,Harsul South 30,3 BHK,Nilgiri Heights,1015,5,2,61.75
Super built-up  Area,18 Months,Aurangpura Central 59,2 Bedroom,Golden Nest,748,4,3,35.71
Carpet  Area,18 Months,Cantonment East 51,2 BHK,Nilgiri Heights,1040,2,3,41.35
Plot  Area,Dec 2024,Vedant Nagar Central 51,2 Bedroom,Sai Residency,1221,4,3,63.87
Super built-up  Area,18 Months,Hudco North 4,3 BHK,Golden Nest,1009,2,2,49.15
Plot  Area,Immediate Possession,Nirala Bazaar Phase 23,2 BHK,Sunshine Towers,1230,3,0,72.67
Carpet  Area,Immediate Possession,Usmanpura Phase 15,2 BHK,Green Park,1046,5,2,40.33
Built-up  Area,Under Construction,Shivaji Nagar West 51,1 BHK,Green Park,726,3,2,36.9
Plot  Area,18 Months,Nirala Bazaar Extension 34,5 BHK,Green Park,3770,4,0,176.97
Super built-up  Area,Immediate Possession,Jalna Road Block 6,4 BHK,Sunshine Towers,2765,4,2,122.69
Built-up  Area,Dec 2024,Baijipura Sector 3,3 BHK,Sunshine Towers,1609,5,1,98.14
Carpet  Area,Dec 2024,Garkheda Central 10,3 Bedroom,Green Park,1783,3,2,113.16
Carpet  Area,Dec 2024,Pundlik Nagar Phase 7,1 BHK,Lake View,410,5,2,16.51
Plot  Area,Dec 2024,Jalna Road North 30,1 BHK,Lake View,632,1,2,28.44
Super built-up  Area,Dec 2024,Aurangpura Block 39,4 BHK,Sai Residency,1768,1,3,87.43
Built-up  Area,Under Construction,CIDCO Sector 51,2 Bedroom,Sai Residency,773,5,3,36.49
Carpet  Area,Dec 2024,Nakshtrawadi Central 42,3 BHK,Golden Nest,1549,2,1,93.64
Plot  Area,Under Construction,Usmanpura East 33,3 BHK,Sai Residency,1572,3,2,100.62
Super built-up  Area,Immediate Possession,Shendra MIDC East 44,2 Bedroom,Nilgiri Heights,1274,5,1,74.46
Plot  Area,Immediate Possession,Seven Hills Sector 56,2 Bedroom,Golden Nest,784,1,3,40.91
Plot  Area,Ready To Move,Usmanpura Central 58,4 BHK,Green Park,2752,5,2,139.1
Built-up  Area,Under Construction,Vedant Nagar Central 56,3 BHK,Green Park,1491,2,3,96.58
Carpet  Area,Immediate Possession,Beed Bypass East 41,2 BHK,Sai Residency,825,2,3,47.23
Super built-up  Area,Dec 2024,MGM Campus Sector 21,5 BHK,,2892,2,1,160.68
Plot  Area,Dec 2024,Satara Area West 12,1 BHK,Sunshine Towers,555,1,2,21.43
Carpet  Area,Immediate Possession,Usmanpura Extension 21,2 BHK,Rose Garden,910,3,3,38.9
Plot  Area,Dec 2024,Beed Bypass East 16,4 BHK,Lake View,2789,1,2,170.97
Plot  Area,Immediate Possession,Padegaon Phase 58,2 Bedroom,Golden Nest,858,1,3,46.6
Super built-up  Area,Dec 2024,Shivaji Nagar Phase 29,3 BHK,Nilgiri Heights,1574,3,2,100.17
Built-up  Area,18 Months,CIDCO Extension 43,5 BHK,Lake View,2836,5,0,180.15
Plot  Area,18 Months,Jalna Road West 39,4 BHK,Golden Nest,2575,2,0,158.54
Carpet  Area,Ready To Move,Satara Area Phase 40,1 BHK,,708,4,2,33.85
Plot  Area,Ready To Move,Harsul South 36,3 BHK,,1474,1,0,86.43
Built-up  Area,Immediate Possession,Jalna Road Enclave 5,3 BHK,Nilgiri Heights,1775,5,1,63.62
Built-up  Area,Ready To Move,Shahgunj East 51,4 BHK,Sunshine Towers,2020,4,2,113.75
Carpet  Area,Immediate Possession,Shendra MIDC Enclave 41,2 Bedroom,Nilgiri Heights,754,5,1,31.99
Built-up  Area,Under Construction,Nirala Bazaar Central 29,5 BHK,Rose Garden,2881,4,1,141.79
Built-up  Area,Dec 2024,Usmanpura North 34,5 BHK,Green Park,3257,1,2,159.76
Built-up  Area,18 Months,Shendra MIDC East 1,4 BHK,Rose Garden,1818,2,1,66.03
Built-up  Area,Under Construction,Jalna Road North 17,4 BHK,Nilgiri Heights,1740,5,1,85.3
Super built-up  Area,18 Months,Aurangpura West 41,4 BHK,,2648,2,3,165.36
Plot  Area,Ready To Move,Harsul North 6,1 BHK,Green Park,450,1,0,26.27
Built-up  Area,Immediate Possession,Beed Bypass East 40,3 Bedroom,Sai Residency,1504,5,2,53.39
Carpet  Area,Dec 2024,Beed Bypass South 27,4 BHK,Sai Residency,1907,5,1,78.32
Built-up  Area,Dec 2024,Paithan Road Enclave 27,3 Bedroom,Nilgiri Heights,1281,1,3,59.48
Super built-up  Area,Under Construction,Mukundwadi South 1,3 Bedroom,,1393,1,1,71.61
Plot  Area,18 Months,Cantonment Central 22,2 BHK,Sai Residency,1016,1,2,59.11
Carpet  Area,Ready To Move,Cantonment Sector 44,3 BHK,Rose Garden,1382,5,2,60.04
Plot  Area,18 Months,Pundlik Nagar Enclave 4,1 BHK,Sai Residency,706,3,3,43.44
Carpet  Area,Dec 2024,Seven Hills South 10,1 BHK,Sunshine Towers,625,5,1,29.34
Carpet  Area,Under Construction,Satara Area Central 31,2 BHK,Rose Garden,870,1,2,34.87
Built-up  Area,Dec 2024,Vedant Nagar Block 23,2 BHK,,806,2,2,32.34
Super built-up  Area,Under Construction,Paithan Road Enclave 9,2 Bedroom,,1181,1,2,50.44
Plot  Area,Dec 2024,MGM Campus West 46,5 BHK,Rose Garden,4298,4,3,198.09
Carpet  Area,18 Months,Harsul Block 32,2 BHK,Sunshine Towers,1016,5,1,56.07
Built-up  Area,Immediate Possession,Paithan Road North 17,3 BHK,Golden Nest,1658,4,0,88.01
Plot  Area,18 Months,Usmanpura Extension 16,4 BHK,Green Park,1768,1,3,80.1
Plot  Area,Dec 2024,CIDCO Enclave 42,4 BHK,Sai Residency,2497,4,3,101.9
Super built-up  Area,18 Months,Garkheda East 22,3 Bedroom,Lake View,1036,4,1,44.6
Carpet  Area,18 Months,Vedant Nagar Central 46,2 BHK,Golden Nest,714,4,3,36.64
Super built-up  Area,Dec 2024,Hudco South 42,5 BHK,Nilgiri Heights,3243,5,0,129.3
Carpet  Area,18 Months,Cantonment Block 15,4 BHK,Sai Residency,2791,3,2,129.27
Built-up  Area,Dec 2024,Harsul Sector 42,2 Bedroom,Nilgiri Heights,1246,4,3,71.67
Plot  Area,Dec 2024,Waluj MIDC Phase 39,2 Bedroom,Nilgiri Heights,866,4,3,46.47
Super built-up  Area,Under Construction,Shivaji Nagar South 5,5 BHK,Green Park,4185,3,1,208.19
Carpet  Area,18 Months,Shahgunj West 47,4 BHK,Green Park,2835,4,0,166.34
Built-up  Area,Dec 2024,Kranti Chowk West 36,4 BHK,Nilgiri Heights,2373,1,3,123.92
Built-up  Area,Ready To Move,Kranti Chowk Sector 31,4 BHK,Lake View,1984,4,3,74.91
Super built-up  Area,Dec 2024,Seven Hills East 17,5 BHK,Green Park,3334,4,0,124.74
Super built-up  Area,Immediate Possession,Shahgunj South 26,3 BHK,Lake View,1074,5,3,46.92
Plot  Area,Ready To Move,Mukundwadi South 25,5 BHK,Sai Residency,3333,2,1,159.35
Plot  Area,Immediate Possession,Baijipura Extension 39,3 Bedroom,Sai Residency,1450,1,0,61.67
Carpet  Area,18 Months,Mukundwadi North 7,1 BHK,Nilgiri Heights,457,2,3,25.24
Carpet  Area,Ready To Move,Seven Hills West 3,2 BHK,Golden Nest,1284,5,3,46.2
Super built-up  Area,Dec 2024,Paithan Road Central 15,3 BHK,Rose Garden,1423,4,2,71.01
Carpet  Area,18 Months,Paithan Road Block 35,2 Bedroom,Golden Nest,1009,3,0,45.14
Plot  Area,Under Construction,Beed Bypass Central 12,5 BHK,Sai Residency,4519,3,1,229.57
Carpet  Area,Immediate Possession,Harsul Sector 8,1 BHK,Sunshine Towers,703,4,1,39.96
Super built-up  Area,Ready To Move,Harsul South 25,4 BHK,Sai Residency,2100,4,1,81.51
Plot  Area,Immediate Possession,Cantonment Sector 14,4 BHK,Rose Garden,2447,2,1,126.99
Plot  Area,Ready To Move,Mukundwadi North 5,3 Bedroom,Green Park,1053,2,1,43.29
Super built-up  Area,Ready To Move,Pundlik Nagar Central 50,5 BHK,Golden Nest,4148,2,2,259.93
Carpet  Area,Immediate Possession,Hudco Extension 9,2 BHK,Lake View,768,5,1,41.71
Plot  Area,Dec 2024,Hudco North 4,2 BHK,,1272,1,3,58.54
Carpet  Area,Ready To Move,Nirala Bazaar Enclave 49,2 BHK,Nilgiri Heights,1127,4,1,58.19
Built-up  Area,Immediate Possession,Nakshtrawadi Block 15,5 BHK,Sunshine Towers,4209,4,2,161.95
Built-up  Area,Under Construction,Beed Bypass Extension 35,3 Bedroom,Sai Residency,1451,1,2,56.46
Super built-up  Area,18 Months,Shivaji Nagar North 9,2 Bedroom,Lake View,779,3,3,32.99
Carpet  Area,Under Construction,Harsul South 25,5 BHK,Nilgiri Heights,3405,1,0,153.97
Plot  Area,Under Construction,Kranti Chowk North 41,2 Bedroom,Nilgiri Heights,967,1,2,50.02
Plot  Area,18 Months,Kranti Chowk North 32,2 BHK,,858,3,0,55.69
Plot  Area,18 Months,Aurangpura East 37,4 BHK,Nilgiri Heights,2533,3,2,102.83
Built-up  Area,Ready To Move,Paithan Road Extension 26,2 BHK,Nilgiri Heights,957,5,3,53.12
Carpet  Area,Immediate Possession,Garkheda West 3,2 Bedroom,Green Park,1145,4,2,72.21
Plot  Area,Immediate Possession,Vedant Nagar East 13,3 Bedroom,Sai Residency,1725,2,3,78.05
Carpet  Area,Dec 2024,Vedant Nagar Extension 27,3 BHK,Lake View,1021,5,0,58.65
Carpet  Area,Ready To Move,Shendra MIDC West 10,2 Bedroom,Sai Residency,1147,3,1,46.93
Carpet  Area,18 Months,Garkheda South 19,5 BHK,Nilgiri Heights,4613,2,0,215.39
Super built-up  Area,Ready To Move,Shahgunj Enclave 1,3 BHK,Sai Residency,1420,5,0,88.27
Super built-up  Area,18 Months,Jalna Road Extension 34,2 Bedroom,Sunshine Towers,1273,3,1,48.02
Plot  Area,18 Months,Paithan Road Enclave 50,2 BHK,Sai Residency,992,2,2,62.62
Plot  Area,Under Construction,Aurangpura Phase 28,1 BHK,Lake View,554,5,3,22.88
Built-up  Area,Under Construction,Satara Area South 46,3 BHK,Golden Nest,1434,4,0,89.61
Plot  Area,Immediate Possession,Garkheda East 22,1 BHK,Golden Nest,549,4,0,25.03
Plot  Area,Under Construction,Hudco Extension 55,3 BHK,Green Park,1477,5,0,83.68
Super built-up  Area,18 Months,Nirala Bazaar Enclave 35,1 BHK,Sai Residency,579,4,0,20.46
Carpet  Area,Ready To Move,Mukundwadi North 56,4 BHK,Sai Residency,1761,1,0,109.08
Plot  Area,Under Construction,Garkheda Block 44,3 Bedroom,Green Park,1246,2,2,53.74
Plot  Area,Ready To Move,Jalna Road Extension 16,2 BHK,Sai Residency,855,2,1,36.22
Super built-up  Area,Under Construction,Satara Area Central 26,3 BHK,Sunshine Towers,1577,4,1,59.17
Plot  Area,Dec 2024,Mukundwadi Extension 3,3 BHK,Nilgiri Heights,1246,1,1,45.04
Plot  Area,Under Construction,CIDCO Phase 6,2 BHK,,752,3,3,45.01
Built-up  Area,18 Months,Pundlik Nagar Enclave 48,4 BHK,Sunshine Towers,2990,4,2,141.84
Built-up  Area,18 Months,Harsul South 30,2 BHK,Nilgiri Heights,1125,3,0,55.71
Plot  Area,Immediate Possession,Aurangpura East 13,4 BHK,Green Park,1864,2,0,113.38
Plot  Area,Dec 2024,Baijipura East 24,2 BHK,Lake View,1209,1,1,46.51
Built-up  Area,Ready To Move,Padegaon Central 19,2 BHK,Rose Garden,809,3,0,47.33
Plot  Area,Under Construction,Satara Area South 7,1 BHK,Green Park,535,3,1,26.54
Carpet  Area,Under Construction,Kranti Chowk Enclave 23,2 Bedroom,Sunshine Towers,1156,1,2,60.12
Plot  Area,Ready To Move,Shivaji Nagar South 25,1 BHK,,778,3,1,31.03
Super built-up  Area,Under Construction,Harsul Phase 26,3 BHK,Rose Garden,1560,5,1,73.55
Plot  Area,Under Construction,Shendra MIDC Enclave 33,2 Bedroom,Sunshine Towers,957,2,2,56.12
Super built-up  Area,Ready To Move,Beed Bypass Sector 4,4 BHK,Green Park,2186,1,0,91.91
Plot  Area,Immediate Possession,Shahgunj Enclave 13,2 BHK,Lake View,942,1,3,35.85
Plot  Area,Ready To Move,Padegaon Central 31,2 BHK,,901,1,0,37.77
Super built-up  Area,18 Months,Pundlik Nagar East 32,3 Bedroom,Sai Residency,1634,1,1,60.25
Plot  Area,Ready To Move,Mukundwadi Phase 10,3 BHK,Rose Garden,1326,2,1,64.94
Plot  Area,Ready To Move,Pundlik Nagar South 35,3 BHK,Lake View,1242,5,2,55.52
Carpet  Area,Ready To Move,Kranti Chowk Block 16,5 BHK,,3284,2,1,202.53
Built-up  Area,Under Construction,Hudco West 53,1 BHK,,596,1,2,27.22
Super built-up  Area,Immediate Possession,Shahgunj Sector 29,3 BHK,Rose Garden,1096,2,0,58.77
Plot  Area,Under Construction,Cantonment Phase 5,2 Bedroom,Rose Garden,860,3,3,53.19
Super built-up  Area,Dec 2024,Shendra MIDC Extension 24,3 BHK,Sai Residency,1438,1,1,51.56
Super built-up  Area,Immediate Possession,Shendra MIDC Block 25,3 Bedroom,Nilgiri Heights,1210,1,3,63.26
Plot  Area,18 Months,Nakshtrawadi South 56,2 BHK,Golden Nest,980,2,1,59.05
Plot  Area,18 Months,Beed Bypass Block 49,2 Bedroom,Nilgiri Heights,856,4,3,39.78
Super built-up  Area,Dec 2024,Hudco Enclave 50,2 Bedroom,Nilgiri Heights,925,4,2,48.2
Super built-up  Area,Dec 2024,CIDCO Phase 6,4 BHK,Sai Residency,1888,2,2,112.58
Super built-up  Area,Ready To Move,Pundlik Nagar Sector 30,3 BHK,Lake View,1567,5,3,91.94
Carpet  Area,Under Construction,Waluj MIDC North 38,5 BHK,Green Park,3182,3,0,190.18
Built-up  Area,18 Months,Paithan Road Block 33,3 Bedroom,,1134,4,2,59.24
Carpet  Area,Under Construction,Paithan Road Phase 34,5 BHK,,4678,2,0,191.2
Carpet  Area,Dec 2024,Satara Area Central 31,2 Bedroom,Lake View,1071,3,2,45.08
Built-up  Area,18 Months,Vedant Nagar Extension 14,3 Bedroom,Nilgiri Heights,1186,2,1,71.5
Built-up  Area,18 Months,Waluj MIDC Block 10,1 BHK,Golden Nest,510,1,2,29.25
Super built-up  Area,Dec 2024,Beed Bypass Block 38,3 BHK,Rose Garden,1312,2,0,79.95
Built-up  Area,Ready To Move,Pundlik Nagar Phase 22,1 BHK,Lake View,632,1,0,31.05
Built-up  Area,Immediate Possession,Vedant Nagar Extension 14,3 BHK,Rose Garden,1777,1,1,62.61
Plot  Area,Immediate Possession,Nirala Bazaar Sector 7,3 Bedroom,Golden Nest,1090,2,2,40.81
Carpet  Area,Ready To Move,Padegaon Extension 35,5 BHK,Sai Residency,3298,5,3,202.1
Plot  Area,18 Months,Satara Area Enclave 16,2 Bedroom,Sai Residency,1200,5,3,58.28
Carpet  Area,18 Months,Beed Bypass Sector 20,5 BHK,Rose Garden,2630,5,2,162.62
Carpet  Area,18 Months,Waluj MIDC Phase 44,3 Bedroom,Lake View,1190,5,0,76.56
Plot  Area,Immediate Possession,Hudco Block 22,3 BHK,Sunshine Towers,1319,4,1,84.84
Super built-up  Area,18 Months,Paithan Road West 54,2 Bedroom,Golden Nest,827,4,1,43.01
Carpet  Area,18 Months,Shendra MIDC Block 8,4 BHK,Rose Garden,2176,1,3,122.4
Carpet  Area,Under Construction,Vedant Nagar Block 41,3 BHK,Golden Nest,1077,5,2,50.57
Plot  Area,Under Construction,Seven Hills South 30,5 BHK,Nilgiri Heights,4942,2,1,244.01
Built-up  Area,Under Construction,Usmanpura West 44,3 BHK,,1467,1,3,79.68
Plot  Area,Ready To Move,Baijipura Enclave 13,3 Bedroom,Sai Residency,1005,5,3,44.19
Carpet  Area,Under Construction,Usmanpura Sector 57,3 BHK,Lake View,1554,5,1,56.37
Plot  Area,Ready To Move,Hudco Enclave 50,2 Bedroom,Rose Garden,876,1,3,53.76
Plot  Area,18 Months,Vedant Nagar South 26,3 Bedroom,Green Park,1166,2,0,43.63
Super built-up  Area,Dec 2024,Pundlik Nagar Block 40,2 BHK,Nilgiri Heights,824,2,3,45.46
Super built-up  Area,Ready To Move,Beed Bypass West 21,1 BHK,,571,4,2,33.2
Built-up  Area,Dec 2024,Shahgunj Block 3,1 BHK,Sai Residency,488,4,0,17.39
Super built-up  Area,Immediate Possession,CIDCO Extension 43,3 BHK,Nilgiri Heights,1180,5,1,73.1
Built-up  Area,Under Construction,Vedant Nagar Phase 59,3 Bedroom,,1117,2,2,62.46
Plot  Area,Ready To Move,Shivaji Nagar Block 19,5 BHK,Lake View,2808,2,0,178.87
Plot  Area,Under Construction,Usmanpura Sector 45,2 Bedroom,Rose Garden,934,4,0,36.07
Plot  Area,18 Months,Aurangpura Extension 47,2 Bedroom,Sai Residency,1106,1,2,49.58
Built-up  Area,18 Months,Nakshtrawadi Sector 31,1 BHK,Green Park,462,4,0,29.99
Super built-up  Area,Dec 2024,Beed Bypass East 25,2 BHK,Nilgiri Heights,975,2,1,46.13
Super built-up  Area,18 Months,Vedant Nagar Extension 40,4 BHK,Lake View,1753,1,1,67.06
Plot  Area,Dec 2024,Aurangpura Block 50,4 BHK,Golden Nest,2710,2,3,165.91
Carpet  Area,Immediate Possession,Aurangpura Central 58,3 Bedroom,Sai Residency,1625,3,3,58.5
Carpet  Area,Under Construction,Baijipura Sector 9,5 BHK,Nilgiri Heights,2772,2,2,103.62
Plot  Area,Ready To Move,Nirala Bazaar South 54,3 BHK,Nilgiri Heights,1777,4,0,77.82
Carpet  Area,18 Months,Nirala Bazaar Sector 53,1 BHK,Nilgiri Heights,713,2,1,45.8
Built-up  Area,Ready To Move,Mukundwadi Extension 3,5 BHK,Nilgiri Heights,3412,5,0,184.83
Super built-up  Area,Dec 2024,Shivaji Nagar Block 19,5 BHK,Golden Nest,3995,2,1,147.99
Plot  Area,Dec 2024,Cantonment West 28,4 BHK,Green Park,1814,2,2,78.73
Plot  Area,Under Construction,Shendra MIDC South 55,5 BHK,Lake View,2553,2,3,123.09
Carpet  Area,18 Months,Usmanpura Extension 3,5 BHK,Rose Garden,2639,1,2,96.3
Super built-up  Area,Dec 2024,Cantonment Central 41,2 BHK,Rose Garden,847,1,1,50.79
Carpet  Area,Under Construction,Padegaon North 3,3 Bedroom,,1408,1,0,63.34
Plot  Area,18 Months,Vedant Nagar Central 32,3 Bedroom,Golden Nest,1164,1,3,74.59
Carpet  Area,Immediate Possession,Waluj MIDC South 29,1 BHK,Sunshine Towers,572,5,0,26.77
Built-up  Area,Immediate Possession,Harsul Enclave 9,1 BHK,Sunshine Towers,743,2,0,46.28
Built-up  Area,18 Months,Padegaon Block 52,3 BHK,Green Park,1355,5,2,83.56
Carpet  Area,Under Construction,Pundlik Nagar Sector 54,5 BHK,Lake View,4234,3,0,164.28
Built-up  Area,Dec 2024,Shahgunj Block 36,3 BHK,Lake View,1572,2,1,72.99
Plot  Area,Dec 2024,Padegaon Block 52,2 Bedroom,,812,4,1,51.84
Carpet  Area,Ready To Move,Shahgunj Central 54,4 BHK,Nilgiri Heights,2559,2,1,126.49
Plot  Area,Under Construction,CIDCO Extension 31,5 BHK,Rose Garden,4220,3,2,247.33
Plot  Area,Immediate Possession,Cantonment Block 27,3 Bedroom,Sunshine Towers,1556,5,2,84.35
Built-up  Area,Dec 2024,MGM Campus West 46,5 BHK,Sai Residency,3692,2,2,174.33
Super built-up  Area,Ready To Move,Vedant Nagar Extension 44,2 BHK,Lake View,959,1,0,44.04
Carpet  Area,Under Construction,Garkheda Enclave 41,5 BHK,Sunshine Towers,2812,1,3,161.96
Carpet  Area,Ready To Move,Pundlik Nagar Enclave 29,1 BHK,Sai Residency,515,5,0,31.52
Built-up  Area,Ready To Move,Vedant Nagar Phase 18,4 BHK,,1722,2,1,102.17
Built-up  Area,18 Months,Mukundwadi Enclave 46,2 BHK,,926,1,2,54.33
Built-up  Area,Ready To Move,Vedant Nagar Enclave 30,5 BHK,Lake View,3493,2,2,198.21
Carpet  Area,Dec 2024,Baijipura Phase 56,4 BHK,Nilgiri Heights,2994,3,0,147.42
Carpet  Area,Dec 2024,Jalna Road Enclave 44,5 BHK,Nilgiri Heights,4023,2,2,171.31
Carpet  Area,Dec 2024,Satara Area East 45,2 Bedroom,Rose Garden,989,1,3,50.29
Super built-up  Area,Immediate Possession,Baijipura Enclave 20,4 BHK,Sunshine Towers,2278,4,3,144.84
Super built-up  Area,Immediate Possession,Pundlik Nagar Sector 8,2 BHK,Golden Nest,752,3,3,46.75
Built-up  Area,Immediate Possession,Cantonment South 36,2 Bedroom,Green Park,760,2,1,40.4
Super built-up  Area,Under Construction,Beed Bypass South 11,2 Bedroom,Nilgiri Heights,896,4,2,56.41
Super built-up  Area,Dec 2024,Shahgunj North 16,3 BHK,Nilgiri Heights,1792,1,1,91.58
Built-up  Area,Immediate Possession,Jalna Road South 21,2 BHK,Green Park,726,3,2,31.18
Super built-up  Area,Immediate Possession,Hudco West 15,2 Bedroom,Sunshine Towers,1286,5,1,61.19
Carpet  Area,Under Construction,Waluj MIDC North 1,2 Bedroom,,1154,5,1,72.45
Carpet  Area,18 Months,MGM Campus Phase 25,2 Bedroom,Golden Nest,957,2,3,59.52
Plot  Area,18 Months,Mukundwadi Extension 31,1 BHK,Nilgiri Heights,620,1,1,22.71
Carpet  Area,Ready To Move,Kranti Chowk Block 48,4 BHK,,2047,1,2,119.57
